Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
207	0.00847292	0.00381708	0.027117	0.0418329	0.0814459	324	
208	0.00846601	0.00383496	0.0269601	0.041496	0.080961	352	
209	0.00843191	0.00377703	0.026473	0.0407579	0.0796399	331	
210	0.00840807	0.00370598	0.0253599	0.0386791	0.0763419	334	
211	0.00835896	0.00371408	0.0243568	0.0372722	0.073884	325	
212	0.00837684	0.00356412	0.023658	0.0360348	0.071811	291	
213	0.00833511	0.003618	0.023978	0.0369599	0.07307	306	
214	0.00831699	0.0035851	0.0237961	0.036238	0.072113	323	
215	0.00831914	0.00355792	0.0235369	0.0359421	0.071532	286	
216	0.00830889	0.00355411	0.0223989	0.03409	0.0685179	287	
217	0.00830913	0.003443	0.020972	0.031754	0.0646341	280	
218	0.00837398	0.0037272	0.0254948	0.0393271	0.077116	311	
219	0.00835395	0.00367093	0.0241261	0.0371909	0.0735259	290	
220	0.008389	0.00373793	0.02548	0.038964	0.0767629	321	
221	0.00846982	0.00385809	0.0268459	0.0412121	0.0805879	331	
222	0.00845003	0.0038631	0.026551	0.041013	0.0800772	329	
223	0.00847197	0.00383806	0.0264912	0.0403788	0.0793781	328	
224	0.00845003	0.00381899	0.025773	0.0395861	0.0778232	314	
225	0.00853705	0.00398588	0.029083	0.0449212	0.0867491	354	
226	0.00857806	0.0040319	0.0297771	0.0463221	0.0889351	341	
227	0.00857806	0.00404501	0.03021	0.0468779	0.089941	377	
228	0.00846601	0.003896	0.0246131	0.0377629	0.074923	305	
229	0.00860906	0.00421715	0.0280759	0.043539	0.084655	362	
230	0.00892401	0.00466299	0.03719	0.0584888	0.109553	489	
231	0.00896716	0.00467205	0.0360758	0.0565391	0.106532	487	
232	0.00897694	0.00474405	0.0378709	0.0597661	0.111664	481	
233	0.00889993	0.00454807	0.0318158	0.0496702	0.0951779	412	
234	0.00904202	0.00477409	0.0350909	0.055074	0.104251	502	
235	0.00894904	0.00419807	0.026706	0.0413029	0.081358	401	
236	0.00923991	0.00501299	0.0406752	0.0645189	0.119764	558	
237	0.00926399	0.00507498	0.0431521	0.0669179	0.124738	597	
238	0.00926089	0.00504017	0.042315	0.0673769	0.12432	609	
239	0.00920296	0.00486708	0.037832	0.05972	0.111915	532	
240	0.00921297	0.00481606	0.037339	0.0589402	0.110597	551	
241	0.00927114	0.00489783	0.0391171	0.061995	0.115591	602	
242	0.00925612	0.00484204	0.0380599	0.060286	0.11274	590	
243	0.00932407	0.00504899	0.0416079	0.0662181	0.122525	610	
244	0.00929499	0.00496006	0.0393679	0.0623331	0.11626	625	
245	0.00919986	0.00478005	0.0359721	0.0568068	0.107038	558	
246	0.00915098	0.00461316	0.033294	0.0524819	0.099797	579	
247	0.00915694	0.0044899	0.0323622	0.0508358	0.0970919	601	
248	0.00936294	0.00513601	0.0446041	0.0712659	0.130715	702	
249	0.00932908	0.00512886	0.0441251	0.0705249	0.129451	671	
250	0.00929999	0.005059	0.043653	0.0694602	0.127812	695	
251	0.00934505	0.00499296	0.043298	0.068903	0.126877	669	
252	0.00944018	0.00517893	0.0465751	0.0744519	0.136012	713	
253	0.00938106	0.00519085	0.0473411	0.0760999	0.138382	728	
254	0.00932789	0.00522304	0.046824	0.07376	0.135497	725	
255	0.00929904	0.00511789	0.0443079	0.070493	0.129564	683	
256	0.00931096	0.00522614	0.0462871	0.0737319	0.134918	731	
257	0.00936198	0.00520205	0.0466661	0.0751278	0.136722	735	
258	0.00927305	0.00520182	0.0482762	0.0767658	0.139883	707	
259	0.00928593	0.00521708	0.0508509	0.0786071	0.144336	750	
260	0.00925088	0.00518513	0.048203	0.0767899	0.139792	771	
261	0.009305	0.00523806	0.0507379	0.077893	0.143547	736	
262	0.00928092	0.00518298	0.0474701	0.074461	0.136761	726	
263	0.009305	0.00525618	0.0481758	0.076915	0.14003	765	
264	0.00926709	0.00515485	0.0464261	0.073782	0.134991	711	
265	0.0092659	0.00525308	0.048589	0.0777171	0.141206	754	
266	0.00935793	0.00519705	0.048156	0.076803	0.139887	699	
267	0.00929785	0.00512314	0.046731	0.0744081	0.135923	729	
268	0.009238	0.00503111	0.0449858	0.0720022	0.131609	740	
269	0.00921583	0.0050261	0.0456579	0.071908	0.132162	667	
270	0.00926208	0.00514984	0.045192	0.072047	0.132003	726	
271	0.00930214	0.00512385	0.0455711	0.0723841	0.132736	678	
272	0.009305	0.00513291	0.0469999	0.0747409	0.136545	714	
273	0.00924802	0.00519204	0.048893	0.0772998	0.14101	728	
274	0.009233	0.00521302	0.0482199	0.0769241	0.139967	681	
275	0.00924706	0.00521684	0.04807	0.07692	0.139829	747	
276	0.00929093	0.00517988	0.047816	0.0762541	0.138912	720	
277	0.00931787	0.00521803	0.0481811	0.0764389	0.139531	728	
278	0.00932407	0.00523686	0.048799	0.077399	0.141139	677	
279	0.0092361	0.00522804	0.048897	0.0781939	0.141938	696	
280	0.00924301	0.00520802	0.0482609	0.0767341	0.139823	715	
281	0.00931287	0.00512409	0.047894	0.0768559	0.13956	700	
282	0.00930715	0.00511789	0.047071	0.0749581	0.136821	708	
283	0.00923491	0.00722408	0.043252	0.0685871	0.128634	675	
284	0.00928688	0.0050559	0.045114	0.071188	0.130993	668	
285	0.00923395	0.00508213	0.045707	0.071615	0.131988	673	
286	0.00929117	0.00508285	0.0459981	0.0734119	0.13414	739	
287	0.00931191	0.00513697	0.0466731	0.074353	0.135844	713	
288	0.00931883	0.0051651	0.047596	0.076076	0.138527	718	
289	0.0093081	0.00525188	0.048677	0.0775781	0.141199	750	
290	0.00929904	0.00523901	0.0481551	0.076762	0.13983	713	
291	0.00927711	0.00520086	0.048104	0.0767272	0.139683	730	
292	0.00929999	0.005198	0.047271	0.075362	0.137501	684	
293	0.0093329	0.00519705	0.0481911	0.0767479	0.139843	715	
294	0.00932193	0.00527692	0.0487711	0.0778239	0.141575	725	
295	0.00931692	0.00526404	0.0481009	0.0765841	0.13964	682	
296	0.00942898	0.0052371	0.0478539	0.07605	0.138943	701	
297	0.00935102	0.00529504	0.049166	0.078181	0.142373	711	
298	0.009305	0.00534105	0.0492511	0.0785038	0.142786	702	
299	0.00931692	0.00533199	0.048867	0.077893	0.141791	737	
300	0.00933003	0.00530791	0.049212	0.0788541	0.143089	700	
301	0.00932789	0.00526094	0.0488381	0.077884	0.141689	699	
302	0.00932789	0.00530195	0.0487292	0.077723	0.141463	739	
303	0.00932693	0.00536513	0.049551	0.078975	0.143605	689	
304	0.00931191	0.00537014	0.0496631	0.0793469	0.144078	740	
305	0.00934386	0.00532317	0.0496919	0.079402	0.144147	698	
306	0.00927591	0.00517201	0.0463071	0.0737498	0.134865	692	
307	0.00921011	0.004987	0.0431809	0.068537	0.126251	669	
308	0.00920892	0.00502992	0.0431991	0.0684299	0.126202	669	
309	0.00919795	0.00510597	0.044616	0.070771	0.130045	632	
310	0.00925803	0.00503397	0.0430472	0.068459	0.126133	641	
311	0.00921702	0.00502706	0.043493	0.069036	0.127111	652	
312	0.00920391	0.00498796	0.0436802	0.067241	0.12544	673	
