Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
70	0.0251818	0.026165	0.0427251	0.225901	0.321141	358	
71	0.0245011	0.0269558	0.041245	0.225616	0.319519	355	
72	0.02911	0.028547	0.0510628	0.233922	0.344094	394	
73	0.031924	0.026782	0.048764	0.228671	0.339209	376	
74	0.030514	0.02827	0.052088	0.232753	0.34495	397	
75	0.0311921	0.029403	0.0515349	0.245667	0.359969	386	
76	0.029315	0.031569	0.0535829	0.239721	0.356565	387	
77	0.030308	0.0308139	0.0494702	0.250329	0.364174	415	
78	0.0289159	0.02531	0.047447	0.243132	0.346082	450	
79	0.0255871	0.0278709	0.0453141	0.236423	0.336387	388	
80	0.0242279	0.0269642	0.045182	0.248106	0.346677	413	
81	0.0347328	0.0300171	0.064306	0.250061	0.381458	433	
82	0.0348649	0.023793	0.066277	0.25525	0.382279	450	
83	0.0305092	0.0331149	0.051374	0.262522	0.378906	429	
84	0.0323689	0.0364251	0.0617089	0.251334	0.384066	411	
85	0.038218	0.0336149	0.051759	0.254706	0.379587	450	
86	0.0240171	0.0247829	0.0450101	0.238993	0.333984	405	
87	0.024076	0.02597	0.0456049	0.243969	0.341173	425	
88	0.0267291	0.0254591	0.0456018	0.243128	0.342143	427	
89	0.024123	0.0257339	0.0458519	0.252363	0.349363	408	
90	0.0292079	0.0325758	0.052155	0.25715	0.372453	439	
91	0.028734	0.0286999	0.0512891	0.250395	0.361938	486	
92	0.0263591	0.0259581	0.046674	0.247625	0.347924	448	
93	0.025506	0.0252759	0.0457861	0.245252	0.343396	439	
94	0.0304568	0.031347	0.0508161	0.254355	0.368335	469	
95	0.0294569	0.032829	0.0514431	0.254153	0.369176	481	
96	0.0276091	0.0279059	0.055604	0.249708	0.362587	483	
97	0.0305128	0.031322	0.0478311	0.24768	0.358589	467	
98	0.0253851	0.025753	0.046015	0.239358	0.337892	467	
99	0.02476	0.0251639	0.0460329	0.249434	0.347076	463	
100	0.026938	0.0287619	0.051316	0.247008	0.357508	479	
101	0.0303922	0.0287299	0.0539391	0.252302	0.367603	474	
102	0.0293729	0.028223	0.0526071	0.233526	0.345339	441	
103	0.0315199	0.035675	0.0536771	0.245923	0.369086	452	
104	0.029191	0.0262489	0.0447941	0.239554	0.341345	424	
105	0.033586	0.0328321	0.0471299	0.240855	0.355619	456	
106	0.0244	0.026495	0.0458028	0.243441	0.34149	450	
107	0.0254111	0.0244439	0.045136	0.24013	0.336332	493	
108	0.0242949	0.0264242	0.0444338	0.238208	0.334951	448	
109	0.029319	0.029191	0.0428021	0.229108	0.331606	489	
110	0.0291109	0.0282221	0.0464649	0.23008	0.335252	439	
111	0.025656	0.0240889	0.0438452	0.239721	0.334833	476	
112	0.0285451	0.028502	0.0448289	0.226644	0.32967	478	
113	0.0252299	0.027457	0.0442469	0.232162	0.33038	506	
